longName,address,city,region,postalCode,lat,lng
BBT049VA01,139 Factory Outlet Dr,Fort Chiswell,VA,24360,,
Lynchburg,4024 Wards Rd,Lynchburg,VA,24502,37.34923,-79.18898
Charleston,39 RHL Blvd,Charleston,WV,25309,38.33651,-81.71148
Martinsburg,276 Retail Commons Pkwy,Martinsburg,WV,25403,39.4398,-77.99285
Huntington,6 Mall Rd,Barboursville,WV,25504,38.41876,-82.26338
Wheeling,150 Satterfield Dr,Triadelphia,WV,26059,40.05771,-80.59853
Morgantown,3294 University Town Centre Dr,Morgantown,WV,26501,39.65089,-80.00518
Winston-Salem,1980 Griffith Rd,Winston-Salem,NC,27103,36.06472,-80.3084
Burlington,1465 University Dr,Burlington,NC,27215,36.06551,-79.52172
Greensboro,1701 S 40 Dr,Greensboro,NC,27407,36.05396,-79.8894
Cary,237 Crossroads Blvd,Cary,NC,27518,35.76232,-78.73976
Garner,120 Shenstone Ln,Garner,NC,27529,35.69545,-78.58364
Knightdale,214 Hinton Oaks Blvd,Knightdale,NC,27545,35.79639,-78.51278
Raleigh-Durham Airport (RDU) Terminal 2 Gate C3,2600 West Terminal Blvd,Morrisville,NC,27560,35.87455026805401,-78.79025727510452
Crabtree,4325 Glenwood Ave,Raleigh,NC,27612,35.8377,-78.67622
RALEIGH OUTLET CENTER,5220 Capital Blvd,Raleigh,NC,27616,35.857075,-78.579842
Raleigh,6280 Capital Blvd,Raleigh,NC,27616,35.87053835391998,-78.58054138720036
Brier Creek,7980 Skyland Ridge Pkwy,Raleigh,NC,27617,35.91496,-78.78379
Durham,5454 New Hope Commons Dr,Durham,NC,27707,35.95351,-78.99887
Durham Southpoint,7001 Fayetteville Rd,Durham,NC,27713,35.90191,-78.9367
Greenville,3140 Evans St,Greenville,NC,27834,35.57451,-77.3848
Wilson,3401 Raleigh Road Pkwy W,Wilson,NC,27896,35.74426,-77.96528
Kannapolis,6390 Bayfield Pkwy,Concord,NC,28027,35.41438,-80.67905
Concord Mills,8210 Concord Mills Blvd,Concord,NC,28027,35.36842,-80.71896
Gastonia,3054 E Franklin Blvd,Gastonia,NC,28056,35.26007,-81.12223
Matthews,2109 Matthews Township Pkwy,Matthews,NC,28105,35.12731,-80.70466
Mooresville,633 River Hwy,Mooresville,NC,28117,35.59379,-80.87539
Pineville,10600 Centrum Pkwy,Pineville,NC,28134,35.08902,-80.87913
Midtown Charlotte,1055 Metropolitan Ave,Charlotte,NC,28204,35.21287,-80.83485
Charlotte Douglas Airport (CLT) D/E Connector,5501 R C Josh Birmingham Pkwy,Charlotte,NC,28208,35.229206,-80.945382
Charlotte-North Lake,10221 Perimeter Pkwy,Charlotte,NC,28216,35.34776,-80.85285
Charlotte - Rivergate,14125 River Gate Pkwy,Charlotte,NC,28273,35.10407,-80.98365
Blakeney,9839 Rea Rd,Charlotte,NC,28277,35.03423,-80.80365
Fayetteville,2034 Skibo Rd,Fayetteville,NC,28314,35.05604,-78.97345
Aberdeen,11088 N US Highway 15 501,Aberdeen,NC,28315,35.15698,-79.42002
Wilmington,309 S College Rd,Wilmington,NC,28403,34.23614,-77.87035
Jacksonville,1116 Western Blvd,Jacksonville,NC,28546,34.78225,-77.39446
Morehead City,5171 US Highway 70 W,Morehead City,NC,28557,34.73742,-76.80869
Hickory,1884 Catawba Valley Blvd SE,Hickory,NC,28602,35.70062,-81.30927
Asheville South,10 McKenna Rd,Arden,NC,28704,35.44689,-82.53691
Waynesville,45 Plaza Pl,Waynesville,NC,28786,35.46543,-83.01096
Asheville,83 S Tunnel Rd,Asheville,NC,28805,35.57942,-82.52376
Lexington,5135 Sunset Blvd,Lexington,SC,29072,34.00532,-81.1962
Columbiana Mall,370 Harbison Blvd,Columbia,SC,29212,34.07617,-81.15271
Spring Valley,10136 Two Notch Rd,Columbia,SC,29229,34.11648,-80.87833
Spartanburg,110 E Blackstock Rd,Spartanburg,SC,29301,34.93523,-81.99251
North Charleston,7612 Rivers Ave,North Charleston,SC,29406,32.94154,-80.0373
West Ashley,1987 Sam Rittenberg Blvd,Charleston,SC,29407,32.79482,-80.02631
Summerville,321 Azalea Square Blvd,Summerville,SC,29483,33.03795,-80.16131
Florence,2701 David H McLeod Blvd,Florence,SC,29501,34.19102,-79.83294
Myrtle Beach,1145 Oak Forest Ln,Myrtle Beach,SC,29577,33.70585,-78.91816
Greenville,1125 Woodruff Rd,Greenville,SC,29607,34.82968,-82.3003
Anderson,3601 Clemson Blvd,Anderson,SC,29621,34.5516,-82.68059
Greenville Spartanburg Airport (GSP) Gate A1,2000 Gsp Dr,Greer,SC,29651,34.895446,-82.217228
Greenville Spartanburg Airport (GSP)  Gate B2,2000 Gsp Dr,Greer,SC,29651,34.895447,-82.217232
